@relation 'winequality-red-weka.filters.unsupervised.attribute.Discretize-F-B10-M-1.0-R8-precision6-weka.filters.unsupervised.attribute.Discretize-F-B10-M-1.0-R8-precision6-weka.filters.unsupervised.attribute.Discretize-F-B10-M-1.0-R5,8-precision6'

@attribute 'fixed acidity' numeric
@attribute 'volatile acidity' numeric
@attribute 'citric acid' numeric
@attribute 'residual sugar' numeric
@attribute chlorides {'\'(-inf-0.0605]\'','\'(0.0605-0.0675]\'','\'(0.0675-0.0725]\'','\'(0.0725-0.0755]\'','\'(0.0755-0.0785]\'','\'(0.0785-0.0815]\'','\'(0.0815-0.0865]\'','\'(0.0865-0.0935]\'','\'(0.0935-0.1065]\'','\'(0.1065-inf)\''}
@attribute 'free sulfur dioxide' numeric
@attribute 'total sulfur dioxide' numeric
@attribute density {'\'(-inf-0.99455]\'','\'(0.99455-0.99535]\'','\'(0.99535-0.995865]\'','\'(0.995865-0.996305]\'','\'(0.996305-0.996755]\'','\'(0.996755-0.997175]\'','\'(0.997175-0.99759]\'','\'(0.99759-0.99816]\'','\'(0.99816-0.99912]\'','\'(0.99912-inf)\''}
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute quality numeric

@data
6.7,0.58,0.08,1.8,'\'(0.0935-0.1065]\'',15,65,'\'(0.995865-0.996305]\'',3.28,0.54,9.2,5
7.5,0.5,0.36,6.1,'\'(0.0675-0.0725]\'',17,102,'\'(0.99759-0.99816]\'',3.35,0.8,10.5,5
5.6,0.615,0,1.6,'\'(0.0865-0.0935]\'',16,59,'\'(-inf-0.99455]\'',3.58,0.52,9.9,5
7.8,0.61,0.29,1.6,'\'(0.1065-inf)\'',9,29,'\'(0.997175-0.99759]\'',3.26,1.56,9.1,5
8.9,0.62,0.18,3.8,'\'(0.1065-inf)\'',52,145,'\'(0.99816-0.99912]\'',3.16,0.88,9.2,5
8.9,0.62,0.19,3.9,'\'(0.1065-inf)\'',51,148,'\'(0.99816-0.99912]\'',3.17,0.93,9.2,5
8.5,0.28,0.56,1.8,'\'(0.0865-0.0935]\'',35,103,'\'(0.996755-0.997175]\'',3.3,0.75,10.5,7
8.1,0.56,0.28,1.7,'\'(0.1065-inf)\'',16,56,'\'(0.996755-0.997175]\'',3.11,1.28,9.3,5
7.4,0.59,0.08,4.4,'\'(0.0815-0.0865]\'',6,29,'\'(0.997175-0.99759]\'',3.38,0.5,9,4
7.9,0.32,0.51,1.8,'\'(0.1065-inf)\'',17,56,'\'(0.996755-0.997175]\'',3.04,1.08,9.2,6
8.9,0.22,0.48,1.8,'\'(0.0755-0.0785]\'',29,60,'\'(0.996755-0.997175]\'',3.39,0.53,9.4,6
7.6,0.39,0.31,2.3,'\'(0.0815-0.0865]\'',23,71,'\'(0.99816-0.99912]\'',3.52,0.65,9.7,5
7.9,0.43,0.21,1.6,'\'(0.0935-0.1065]\'',10,37,'\'(0.996305-0.996755]\'',3.17,0.91,9.5,5
8.5,0.49,0.11,2.3,'\'(0.0815-0.0865]\'',9,67,'\'(0.996755-0.997175]\'',3.17,0.53,9.4,5
6.9,0.4,0.14,2.4,'\'(0.0815-0.0865]\'',21,40,'\'(0.996755-0.997175]\'',3.43,0.63,9.7,6
6.3,0.39,0.16,1.4,'\'(0.0785-0.0815]\'',11,23,'\'(0.99535-0.995865]\'',3.34,0.56,9.3,5
7.6,0.41,0.24,1.8,'\'(0.0785-0.0815]\'',4,11,'\'(0.995865-0.996305]\'',3.28,0.59,9.5,5
7.9,0.43,0.21,1.6,'\'(0.0935-0.1065]\'',10,37,'\'(0.996305-0.996755]\'',3.17,0.91,9.5,5
7.1,0.71,0,1.9,'\'(0.0785-0.0815]\'',14,35,'\'(0.997175-0.99759]\'',3.47,0.55,9.4,5
7.8,0.645,0,2,'\'(0.0815-0.0865]\'',8,16,'\'(0.996305-0.996755]\'',3.38,0.59,9.8,6
6.7,0.675,0.07,2.4,'\'(0.0865-0.0935]\'',17,82,'\'(0.99535-0.995865]\'',3.35,0.54,10.1,5
6.9,0.685,0,2.5,'\'(0.0935-0.1065]\'',22,37,'\'(0.996305-0.996755]\'',3.46,0.57,10.6,6
8.3,0.655,0.12,2.3,'\'(0.0815-0.0865]\'',15,113,'\'(0.996305-0.996755]\'',3.17,0.66,9.8,5
6.9,0.605,0.12,10.7,'\'(0.0725-0.0755]\'',40,83,'\'(0.99912-inf)\'',3.45,0.52,9.4,6
5.2,0.32,0.25,1.8,'\'(0.0935-0.1065]\'',13,50,'\'(0.99535-0.995865]\'',3.38,0.55,9.2,5
7.8,0.645,0,5.5,'\'(0.0815-0.0865]\'',5,18,'\'(0.99816-0.99912]\'',3.4,0.55,9.6,6
7.8,0.6,0.14,2.4,'\'(0.0815-0.0865]\'',3,15,'\'(0.997175-0.99759]\'',3.42,0.6,10.8,6
8.1,0.38,0.28,2.1,'\'(0.0605-0.0675]\'',13,30,'\'(0.996755-0.997175]\'',3.23,0.73,9.7,7
5.7,1.13,0.09,1.5,'\'(0.1065-inf)\'',7,19,'\'(-inf-0.99455]\'',3.5,0.48,9.8,4
7.3,0.45,0.36,5.9,'\'(0.0725-0.0755]\'',12,87,'\'(0.99759-0.99816]\'',3.33,0.83,10.5,5
7.3,0.45,0.36,5.9,'\'(0.0725-0.0755]\'',12,87,'\'(0.99759-0.99816]\'',3.33,0.83,10.5,5
8.8,0.61,0.3,2.8,'\'(0.0865-0.0935]\'',17,46,'\'(0.99759-0.99816]\'',3.26,0.51,9.3,4
7.5,0.49,0.2,2.6,'\'(0.1065-inf)\'',8,14,'\'(0.996755-0.997175]\'',3.21,0.9,10.5,6
8.1,0.66,0.22,2.2,'\'(0.0675-0.0725]\'',9,23,'\'(0.996755-0.997175]\'',3.3,1.2,10.3,5
6.8,0.67,0.02,1.8,'\'(-inf-0.0605]\'',5,11,'\'(0.995865-0.996305]\'',3.48,0.52,9.5,5
4.6,0.52,0.15,2.1,'\'(-inf-0.0605]\'',8,65,'\'(-inf-0.99455]\'',3.9,0.56,13.1,4
7.7,0.935,0.43,2.2,'\'(0.1065-inf)\'',22,114,'\'(0.996755-0.997175]\'',3.25,0.73,9.2,5
8.7,0.29,0.52,1.6,'\'(0.1065-inf)\'',12,37,'\'(0.996755-0.997175]\'',3.25,0.58,9.5,5
6.4,0.4,0.23,1.6,'\'(0.0605-0.0675]\'',5,12,'\'(0.99535-0.995865]\'',3.34,0.56,9.2,5
5.6,0.31,0.37,1.4,'\'(0.0725-0.0755]\'',12,96,'\'(0.99535-0.995865]\'',3.32,0.58,9.2,5
8.8,0.66,0.26,1.7,'\'(0.0725-0.0755]\'',4,23,'\'(0.996755-0.997175]\'',3.15,0.74,9.2,5
6.6,0.52,0.04,2.2,'\'(0.0675-0.0725]\'',8,15,'\'(0.99535-0.995865]\'',3.4,0.63,9.4,6
6.6,0.5,0.04,2.1,'\'(0.0675-0.0725]\'',6,14,'\'(0.99535-0.995865]\'',3.39,0.64,9.4,6
8.6,0.38,0.36,3,'\'(0.0785-0.0815]\'',30,119,'\'(0.996755-0.997175]\'',3.2,0.56,9.4,5
7.6,0.51,0.15,2.8,'\'(0.1065-inf)\'',33,73,'\'(0.99535-0.995865]\'',3.17,0.63,10.2,6
7.7,0.62,0.04,3.8,'\'(0.0815-0.0865]\'',25,45,'\'(0.99759-0.99816]\'',3.34,0.53,9.5,5
10.2,0.42,0.57,3.4,'\'(0.0675-0.0725]\'',4,10,'\'(0.996755-0.997175]\'',3.04,0.63,9.6,5
7.5,0.63,0.12,5.1,'\'(0.1065-inf)\'',50,110,'\'(0.99816-0.99912]\'',3.26,0.77,9.4,5
7.8,0.59,0.18,2.3,'\'(0.0755-0.0785]\'',17,54,'\'(0.997175-0.99759]\'',3.43,0.59,10,5
7.3,0.39,0.31,2.4,'\'(0.0725-0.0755]\'',9,46,'\'(0.995865-0.996305]\'',3.41,0.54,9.4,6
8.8,0.4,0.4,2.2,'\'(0.0785-0.0815]\'',19,52,'\'(0.99759-0.99816]\'',3.44,0.64,9.2,5
7.7,0.69,0.49,1.8,'\'(0.1065-inf)\'',20,112,'\'(0.996755-0.997175]\'',3.21,0.71,9.3,5
7.5,0.52,0.16,1.9,'\'(0.0815-0.0865]\'',12,35,'\'(0.996755-0.997175]\'',3.38,0.62,9.5,7
7,0.735,0.05,2,'\'(0.0785-0.0815]\'',13,54,'\'(0.996305-0.996755]\'',3.39,0.57,9.8,5
7.2,0.725,0.05,4.65,'\'(0.0815-0.0865]\'',4,11,'\'(0.995865-0.996305]\'',3.41,0.39,10.9,5
7.2,0.725,0.05,4.65,'\'(0.0815-0.0865]\'',4,11,'\'(0.995865-0.996305]\'',3.41,0.39,10.9,5
7.5,0.52,0.11,1.5,'\'(0.0785-0.0815]\'',11,39,'\'(0.996755-0.997175]\'',3.42,0.58,9.6,5
6.6,0.705,0.07,1.6,'\'(0.0755-0.0785]\'',6,15,'\'(0.995865-0.996305]\'',3.44,0.58,10.7,5
9.3,0.32,0.57,2,'\'(0.0725-0.0755]\'',27,65,'\'(0.996755-0.997175]\'',3.28,0.79,10.7,5
8,0.705,0.05,1.9,'\'(0.0725-0.0755]\'',8,19,'\'(0.995865-0.996305]\'',3.34,0.95,10.5,6
7.7,0.63,0.08,1.9,'\'(0.0755-0.0785]\'',15,27,'\'(0.996305-0.996755]\'',3.32,0.54,9.5,6
7.7,0.67,0.23,2.1,'\'(0.0865-0.0935]\'',17,96,'\'(0.995865-0.996305]\'',3.32,0.48,9.5,5
7.7,0.69,0.22,1.9,'\'(0.0815-0.0865]\'',18,94,'\'(0.995865-0.996305]\'',3.31,0.48,9.5,5
8.3,0.675,0.26,2.1,'\'(0.0815-0.0865]\'',11,43,'\'(0.99759-0.99816]\'',3.31,0.53,9.2,4
9.7,0.32,0.54,2.5,'\'(0.0935-0.1065]\'',28,83,'\'(0.99816-0.99912]\'',3.28,0.82,9.6,5
8.8,0.41,0.64,2.2,'\'(0.0865-0.0935]\'',9,42,'\'(0.99816-0.99912]\'',3.54,0.66,10.5,5
8.8,0.41,0.64,2.2,'\'(0.0865-0.0935]\'',9,42,'\'(0.99816-0.99912]\'',3.54,0.66,10.5,5
6.8,0.785,0,2.4,'\'(0.0935-0.1065]\'',14,30,'\'(0.996305-0.996755]\'',3.52,0.55,10.7,6
6.7,0.75,0.12,2,'\'(0.0815-0.0865]\'',12,80,'\'(0.99535-0.995865]\'',3.38,0.52,10.1,5
8.3,0.625,0.2,1.5,'\'(0.0785-0.0815]\'',27,119,'\'(0.997175-0.99759]\'',3.16,1.12,9.1,4
6.2,0.45,0.2,1.6,'\'(0.0675-0.0725]\'',3,15,'\'(0.99535-0.995865]\'',3.41,0.56,9.2,5
7.8,0.43,0.7,1.9,'\'(0.1065-inf)\'',22,67,'\'(0.997175-0.99759]\'',3.13,1.28,9.4,5
7.4,0.5,0.47,2,'\'(0.0815-0.0865]\'',21,73,'\'(0.996755-0.997175]\'',3.36,0.57,9.1,5
7.3,0.67,0.26,1.8,'\'(0.1065-inf)\'',16,51,'\'(0.996755-0.997175]\'',3.16,1.14,9.4,5
6.3,0.3,0.48,1.8,'\'(0.0675-0.0725]\'',18,61,'\'(0.995865-0.996305]\'',3.44,0.78,10.3,6
6.9,0.55,0.15,2.2,'\'(0.0755-0.0785]\'',19,40,'\'(0.995865-0.996305]\'',3.41,0.59,10.1,5
8.6,0.49,0.28,1.9,'\'(0.1065-inf)\'',20,136,'\'(0.997175-0.99759]\'',2.93,1.95,9.9,6
7.7,0.49,0.26,1.9,'\'(0.0605-0.0675]\'',9,31,'\'(0.996305-0.996755]\'',3.39,0.64,9.6,5
9.3,0.39,0.44,2.1,'\'(0.1065-inf)\'',34,125,'\'(0.99759-0.99816]\'',3.14,1.22,9.5,5
7,0.62,0.08,1.8,'\'(0.0755-0.0785]\'',8,24,'\'(0.99759-0.99816]\'',3.48,0.53,9,5
7.9,0.52,0.26,1.9,'\'(0.0785-0.0815]\'',42,140,'\'(0.996305-0.996755]\'',3.23,0.54,9.5,5
8.6,0.49,0.28,1.9,'\'(0.1065-inf)\'',20,136,'\'(0.997175-0.99759]\'',2.93,1.95,9.9,6
8.6,0.49,0.29,2,'\'(0.1065-inf)\'',19,133,'\'(0.997175-0.99759]\'',2.93,1.98,9.8,5
7.7,0.49,0.26,1.9,'\'(0.0605-0.0675]\'',9,31,'\'(0.996305-0.996755]\'',3.39,0.64,9.6,5
5,1.02,0.04,1.4,'\'(-inf-0.0605]\'',41,85,'\'(-inf-0.99455]\'',3.75,0.48,10.5,4
4.7,0.6,0.17,2.3,'\'(-inf-0.0605]\'',17,106,'\'(-inf-0.99455]\'',3.85,0.6,12.9,6
6.8,0.775,0,3,'\'(0.0935-0.1065]\'',8,23,'\'(0.996305-0.996755]\'',3.45,0.56,10.7,5
7,0.5,0.25,2,'\'(0.0675-0.0725]\'',3,22,'\'(0.995865-0.996305]\'',3.25,0.63,9.2,5
7.6,0.9,0.06,2.5,'\'(0.0785-0.0815]\'',5,10,'\'(0.996305-0.996755]\'',3.39,0.56,9.8,5
8.1,0.545,0.18,1.9,'\'(0.0785-0.0815]\'',13,35,'\'(0.997175-0.99759]\'',3.3,0.59,9,6
8.3,0.61,0.3,2.1,'\'(0.0815-0.0865]\'',11,50,'\'(0.997175-0.99759]\'',3.4,0.61,10.2,6
7.8,0.5,0.3,1.9,'\'(0.0725-0.0755]\'',8,22,'\'(0.995865-0.996305]\'',3.31,0.56,10.4,6
8.1,0.545,0.18,1.9,'\'(0.0785-0.0815]\'',13,35,'\'(0.997175-0.99759]\'',3.3,0.59,9,6
8.1,0.575,0.22,2.1,'\'(0.0755-0.0785]\'',12,65,'\'(0.996305-0.996755]\'',3.29,0.51,9.2,5
7.2,0.49,0.24,2.2,'\'(0.0675-0.0725]\'',5,36,'\'(0.995865-0.996305]\'',3.33,0.48,9.4,5
8.1,0.575,0.22,2.1,'\'(0.0755-0.0785]\'',12,65,'\'(0.996305-0.996755]\'',3.29,0.51,9.2,5
7.8,0.41,0.68,1.7,'\'(0.1065-inf)\'',18,69,'\'(0.997175-0.99759]\'',3.08,1.31,9.3,5
6.2,0.63,0.31,1.7,'\'(0.0865-0.0935]\'',15,64,'\'(0.996755-0.997175]\'',3.46,0.79,9.3,5
8,0.33,0.53,2.5,'\'(0.0865-0.0935]\'',18,80,'\'(0.99759-0.99816]\'',3.37,0.8,9.6,6
8.1,0.785,0.52,2,'\'(0.1065-inf)\'',37,153,'\'(0.996755-0.997175]\'',3.21,0.69,9.3,5
7.8,0.56,0.19,1.8,'\'(0.0935-0.1065]\'',12,47,'\'(0.996305-0.996755]\'',3.19,0.93,9.5,5
8.4,0.62,0.09,2.2,'\'(0.0815-0.0865]\'',11,108,'\'(0.996305-0.996755]\'',3.15,0.66,9.8,5
8.4,0.6,0.1,2.2,'\'(0.0815-0.0865]\'',14,111,'\'(0.996305-0.996755]\'',3.15,0.66,9.8,5
10.1,0.31,0.44,2.3,'\'(0.0785-0.0815]\'',22,46,'\'(0.99816-0.99912]\'',3.32,0.67,9.7,6
7.8,0.56,0.19,1.8,'\'(0.0935-0.1065]\'',12,47,'\'(0.996305-0.996755]\'',3.19,0.93,9.5,5
9.4,0.4,0.31,2.2,'\'(0.0865-0.0935]\'',13,62,'\'(0.996305-0.996755]\'',3.07,0.63,10.5,6
8.3,0.54,0.28,1.9,'\'(0.0755-0.0785]\'',11,40,'\'(0.99759-0.99816]\'',3.39,0.61,10,6
7.8,0.56,0.12,2,'\'(0.0815-0.0865]\'',7,28,'\'(0.996755-0.997175]\'',3.37,0.5,9.4,6
8.8,0.55,0.04,2.2,'\'(0.1065-inf)\'',14,56,'\'(0.995865-0.996305]\'',3.21,0.6,10.9,6
7,0.69,0.08,1.8,'\'(0.0935-0.1065]\'',22,89,'\'(0.995865-0.996305]\'',3.34,0.54,9.2,6
7.3,1.07,0.09,1.7,'\'(0.1065-inf)\'',10,89,'\'(0.995865-0.996305]\'',3.3,0.57,9,5
8.8,0.55,0.04,2.2,'\'(0.1065-inf)\'',14,56,'\'(0.995865-0.996305]\'',3.21,0.6,10.9,6
7.3,0.695,0,2.5,'\'(0.0725-0.0755]\'',3,13,'\'(0.99759-0.99816]\'',3.49,0.52,9.2,5
8,0.71,0,2.6,'\'(0.0785-0.0815]\'',11,34,'\'(0.99759-0.99816]\'',3.44,0.53,9.5,5
7.8,0.5,0.17,1.6,'\'(0.0815-0.0865]\'',21,102,'\'(0.995865-0.996305]\'',3.39,0.48,9.5,5
9,0.62,0.04,1.9,'\'(0.1065-inf)\'',27,90,'\'(0.99816-0.99912]\'',3.16,0.7,9.4,5
8.2,1.33,0,1.7,'\'(0.0785-0.0815]\'',3,12,'\'(0.996305-0.996755]\'',3.53,0.49,10.9,5
8.1,1.33,0,1.8,'\'(0.0815-0.0865]\'',3,12,'\'(0.996305-0.996755]\'',3.54,0.48,10.9,5
8,0.59,0.16,1.8,'\'(0.0605-0.0675]\'',3,16,'\'(0.995865-0.996305]\'',3.42,0.92,10.5,7
6.1,0.38,0.15,1.8,'\'(0.0675-0.0725]\'',6,19,'\'(0.99535-0.995865]\'',3.42,0.57,9.4,5
8,0.745,0.56,2,'\'(0.1065-inf)\'',30,134,'\'(0.996755-0.997175]\'',3.24,0.66,9.4,5
5.6,0.5,0.09,2.3,'\'(-inf-0.0605]\'',17,99,'\'(-inf-0.99455]\'',3.63,0.63,13,5
5.6,0.5,0.09,2.3,'\'(-inf-0.0605]\'',17,99,'\'(-inf-0.99455]\'',3.63,0.63,13,5
6.6,0.5,0.01,1.5,'\'(-inf-0.0605]\'',17,26,'\'(0.99455-0.99535]\'',3.4,0.58,9.8,6
7.9,1.04,0.05,2.2,'\'(0.0815-0.0865]\'',13,29,'\'(0.995865-0.996305]\'',3.22,0.55,9.9,6
8.4,0.745,0.11,1.9,'\'(0.0865-0.0935]\'',16,63,'\'(0.996305-0.996755]\'',3.19,0.82,9.6,5
8.3,0.715,0.15,1.8,'\'(0.0865-0.0935]\'',10,52,'\'(0.996755-0.997175]\'',3.23,0.77,9.5,5
7.2,0.415,0.36,2,'\'(0.0785-0.0815]\'',13,45,'\'(0.997175-0.99759]\'',3.48,0.64,9.2,5
7.8,0.56,0.19,2.1,'\'(0.0785-0.0815]\'',15,105,'\'(0.995865-0.996305]\'',3.33,0.54,9.5,5
7.8,0.56,0.19,2,'\'(0.0785-0.0815]\'',17,108,'\'(0.995865-0.996305]\'',3.32,0.54,9.5,5
8.4,0.745,0.11,1.9,'\'(0.0865-0.0935]\'',16,63,'\'(0.996305-0.996755]\'',3.19,0.82,9.6,5
8.3,0.715,0.15,1.8,'\'(0.0865-0.0935]\'',10,52,'\'(0.996755-0.997175]\'',3.23,0.77,9.5,5
5.2,0.34,0,1.8,'\'(-inf-0.0605]\'',27,63,'\'(-inf-0.99455]\'',3.68,0.79,14,6
6.3,0.39,0.08,1.7,'\'(0.0605-0.0675]\'',3,20,'\'(0.99535-0.995865]\'',3.34,0.58,9.4,5
5.2,0.34,0,1.8,'\'(-inf-0.0605]\'',27,63,'\'(-inf-0.99455]\'',3.68,0.79,14,6
8.1,0.67,0.55,1.8,'\'(0.1065-inf)\'',32,141,'\'(0.996755-0.997175]\'',3.17,0.62,9.4,5
5.8,0.68,0.02,1.8,'\'(0.0865-0.0935]\'',21,94,'\'(-inf-0.99455]\'',3.54,0.52,10,5
7.6,0.49,0.26,1.6,'\'(0.1065-inf)\'',10,88,'\'(0.996755-0.997175]\'',3.11,0.8,9.3,5
6.9,0.49,0.1,2.3,'\'(0.0725-0.0755]\'',12,30,'\'(0.995865-0.996305]\'',3.42,0.58,10.2,6
8.2,0.4,0.44,2.8,'\'(0.0865-0.0935]\'',11,43,'\'(0.997175-0.99759]\'',3.53,0.61,10.5,6
7.3,0.33,0.47,2.1,'\'(0.0755-0.0785]\'',5,11,'\'(0.99535-0.995865]\'',3.33,0.53,10.3,6
9.2,0.52,1,3.4,'\'(0.1065-inf)\'',32,69,'\'(0.99912-inf)\'',2.74,2,9.4,4
7.5,0.6,0.03,1.8,'\'(0.0935-0.1065]\'',25,99,'\'(0.99455-0.99535]\'',3.35,0.54,10.1,5
7.5,0.6,0.03,1.8,'\'(0.0935-0.1065]\'',25,99,'\'(0.99455-0.99535]\'',3.35,0.54,10.1,5
7.1,0.43,0.42,5.5,'\'(0.0675-0.0725]\'',29,129,'\'(0.997175-0.99759]\'',3.42,0.72,10.5,5
7.1,0.43,0.42,5.5,'\'(0.0675-0.0725]\'',28,128,'\'(0.997175-0.99759]\'',3.42,0.71,10.5,5
7.1,0.43,0.42,5.5,'\'(0.0675-0.0725]\'',29,129,'\'(0.997175-0.99759]\'',3.42,0.72,10.5,5
7.1,0.43,0.42,5.5,'\'(0.0675-0.0725]\'',28,128,'\'(0.997175-0.99759]\'',3.42,0.71,10.5,5
7.1,0.68,0,2.2,'\'(0.0725-0.0755]\'',12,22,'\'(0.996755-0.997175]\'',3.48,0.5,9.3,5
6.8,0.6,0.18,1.9,'\'(0.0785-0.0815]\'',18,86,'\'(0.996755-0.997175]\'',3.59,0.57,9.3,6
7.6,0.95,0.03,2,'\'(0.0865-0.0935]\'',7,20,'\'(0.995865-0.996305]\'',3.2,0.56,9.6,5
7.6,0.68,0.02,1.3,'\'(0.0675-0.0725]\'',9,20,'\'(0.996305-0.996755]\'',3.17,1.08,9.2,4
7.8,0.53,0.04,1.7,'\'(0.0755-0.0785]\'',17,31,'\'(0.996305-0.996755]\'',3.33,0.56,10,6
7.4,0.6,0.26,7.3,'\'(0.0675-0.0725]\'',36,121,'\'(0.99816-0.99912]\'',3.37,0.49,9.4,5
7.3,0.59,0.26,7.2,'\'(0.0675-0.0725]\'',35,121,'\'(0.99759-0.99816]\'',3.37,0.49,9.4,5
7.8,0.63,0.48,1.7,'\'(0.0935-0.1065]\'',14,96,'\'(0.995865-0.996305]\'',3.19,0.62,9.5,5
6.8,0.64,0.1,2.1,'\'(0.0815-0.0865]\'',18,101,'\'(0.99535-0.995865]\'',3.34,0.52,10.2,5
7.3,0.55,0.03,1.6,'\'(0.0675-0.0725]\'',17,42,'\'(0.99535-0.995865]\'',3.37,0.48,9,4
6.8,0.63,0.07,2.1,'\'(0.0865-0.0935]\'',11,44,'\'(0.99455-0.99535]\'',3.47,0.55,10.4,6
7.5,0.705,0.24,1.8,'\'(0.1065-inf)\'',15,63,'\'(0.996305-0.996755]\'',3,1.59,9.5,5
7.9,0.885,0.03,1.8,'\'(-inf-0.0605]\'',4,8,'\'(0.997175-0.99759]\'',3.36,0.33,9.1,4
8,0.42,0.17,2,'\'(0.0725-0.0755]\'',6,18,'\'(0.997175-0.99759]\'',3.29,0.61,9.2,6
8,0.42,0.17,2,'\'(0.0725-0.0755]\'',6,18,'\'(0.997175-0.99759]\'',3.29,0.61,9.2,6
7.4,0.62,0.05,1.9,'\'(0.0675-0.0725]\'',24,42,'\'(0.995865-0.996305]\'',3.42,0.57,11.5,6
7.3,0.38,0.21,2,'\'(0.0785-0.0815]\'',7,35,'\'(0.995865-0.996305]\'',3.33,0.47,9.5,5
6.9,0.5,0.04,1.5,'\'(0.0815-0.0865]\'',19,49,'\'(0.99535-0.995865]\'',3.35,0.78,9.5,5
7.3,0.38,0.21,2,'\'(0.0785-0.0815]\'',7,35,'\'(0.995865-0.996305]\'',3.33,0.47,9.5,5
7.5,0.52,0.42,2.3,'\'(0.0865-0.0935]\'',8,38,'\'(0.997175-0.99759]\'',3.58,0.61,10.5,6
7,0.805,0,2.5,'\'(0.0675-0.0725]\'',7,20,'\'(0.996755-0.997175]\'',3.48,0.56,9.6,5
8.8,0.61,0.14,2.4,'\'(0.0605-0.0675]\'',10,42,'\'(0.996755-0.997175]\'',3.19,0.59,9.5,5
8.8,0.61,0.14,2.4,'\'(0.0605-0.0675]\'',10,42,'\'(0.996755-0.997175]\'',3.19,0.59,9.5,5
8.9,0.61,0.49,2,'\'(0.1065-inf)\'',23,110,'\'(0.997175-0.99759]\'',3.12,1.02,9.3,5
7.2,0.73,0.02,2.5,'\'(0.0755-0.0785]\'',16,42,'\'(0.997175-0.99759]\'',3.44,0.52,9.3,5
6.8,0.61,0.2,1.8,'\'(0.0755-0.0785]\'',11,65,'\'(0.996755-0.997175]\'',3.54,0.58,9.3,5
6.7,0.62,0.21,1.9,'\'(0.0785-0.0815]\'',8,62,'\'(0.996755-0.997175]\'',3.52,0.58,9.3,6
8.9,0.31,0.57,2,'\'(0.1065-inf)\'',26,85,'\'(0.996755-0.997175]\'',3.26,0.53,9.7,5
7.4,0.39,0.48,2,'\'(0.0815-0.0865]\'',14,67,'\'(0.997175-0.99759]\'',3.34,0.55,9.2,5
7.7,0.705,0.1,2.6,'\'(0.0815-0.0865]\'',9,26,'\'(0.99759-0.99816]\'',3.39,0.49,9.7,5
7.9,0.5,0.33,2,'\'(0.0815-0.0865]\'',15,143,'\'(0.996755-0.997175]\'',3.2,0.55,9.5,5
7.9,0.49,0.32,1.9,'\'(0.0815-0.0865]\'',17,144,'\'(0.996755-0.997175]\'',3.2,0.55,9.5,5
8.2,0.5,0.35,2.9,'\'(0.0755-0.0785]\'',21,127,'\'(0.99759-0.99816]\'',3.23,0.62,9.4,5
