@relation 'winequality-white-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R8-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R8-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R4,8-precision6'

@attribute 'fixed acidity' numeric
@attribute 'volatile acidity' numeric
@attribute 'citric acid' numeric
@attribute 'residual sugar' {'\'(-inf-7.12]\'','\'(7.12-13.64]\'','\'(13.64-20.16]\'','\'(20.16-26.68]\'','\'(26.68-33.2]\'','\'(33.2-39.72]\'','\'(39.72-46.24]\'','\'(46.24-52.76]\'','\'(52.76-59.28]\'','\'(59.28-inf)\''}
@attribute chlorides numeric
@attribute 'free sulfur dioxide' numeric
@attribute 'total sulfur dioxide' numeric
@attribute density {'\'(-inf-0.992297]\'','\'(0.992297-0.997484]\'','\'(0.997484-1.002671]\'','\'(1.002671-1.007858]\'','\'(1.007858-1.013045]\'','\'(1.013045-1.018232]\'','\'(1.018232-1.023419]\'','\'(1.023419-1.028606]\'','\'(1.028606-1.033793]\'','\'(1.033793-inf)\''}
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute quality numeric

@data
6.6,0.38,0.15,'\'(-inf-7.12]\'',0.044,25,78,'\'(0.992297-0.997484]\'',3.11,0.38,10.2,6
7.2,0.24,0.27,'\'(-inf-7.12]\'',0.038,31,122,'\'(0.992297-0.997484]\'',3.15,0.46,10.3,6
6.2,0.35,0.03,'\'(-inf-7.12]\'',0.064,29,120,'\'(0.992297-0.997484]\'',3.22,0.54,9.1,5
6.4,0.26,0.24,'\'(-inf-7.12]\'',0.04,27,124,'\'(-inf-0.992297]\'',3.22,0.49,12.6,7
6.7,0.25,0.13,'\'(-inf-7.12]\'',0.041,81,174,'\'(-inf-0.992297]\'',3.14,0.42,9.8,5
6.7,0.23,0.31,'\'(-inf-7.12]\'',0.046,30,96,'\'(0.992297-0.997484]\'',3.33,0.64,10.7,8
7.4,0.24,0.29,'\'(7.12-13.64]\'',0.05,21,105,'\'(0.992297-0.997484]\'',3.13,0.35,9.5,5
6.2,0.27,0.43,'\'(7.12-13.64]\'',0.056,48,244,'\'(0.992297-0.997484]\'',3.1,0.51,9,6
6.8,0.3,0.23,'\'(-inf-7.12]\'',0.061,50.5,238.5,'\'(0.992297-0.997484]\'',3.32,0.6,9.5,5
6,0.27,0.28,'\'(-inf-7.12]\'',0.063,31,201,'\'(0.992297-0.997484]\'',3.69,0.71,10,5
8.6,0.23,0.46,'\'(-inf-7.12]\'',0.054,9,72,'\'(0.992297-0.997484]\'',2.95,0.49,9.1,6
6.7,0.23,0.31,'\'(-inf-7.12]\'',0.046,30,96,'\'(0.992297-0.997484]\'',3.33,0.64,10.7,8
7.4,0.24,0.29,'\'(7.12-13.64]\'',0.05,21,105,'\'(0.992297-0.997484]\'',3.13,0.35,9.5,5
7.1,0.18,0.36,'\'(-inf-7.12]\'',0.043,31,87,'\'(-inf-0.992297]\'',3.26,0.37,12.7,7
7,0.32,0.34,'\'(-inf-7.12]\'',0.042,20,69,'\'(-inf-0.992297]\'',3.31,0.65,12,7
7.4,0.18,0.3,'\'(7.12-13.64]\'',0.064,26,103,'\'(0.992297-0.997484]\'',2.94,0.56,9.3,5
6.7,0.54,0.28,'\'(-inf-7.12]\'',0.06,21,105,'\'(0.992297-0.997484]\'',3.27,0.37,9,5
6.8,0.22,0.31,'\'(-inf-7.12]\'',0.053,34,114,'\'(0.992297-0.997484]\'',3.39,0.77,10.6,6
7.1,0.2,0.34,'\'(13.64-20.16]\'',0.05,51,166,'\'(0.997484-1.002671]\'',3.21,0.6,9.2,6
7.1,0.34,0.2,'\'(-inf-7.12]\'',0.063,47,164,'\'(0.992297-0.997484]\'',3.17,0.42,10,5
7.3,0.22,0.3,'\'(7.12-13.64]\'',0.047,42,207,'\'(0.992297-0.997484]\'',3.33,0.46,9.5,6
7.1,0.43,0.61,'\'(7.12-13.64]\'',0.045,54,155,'\'(0.992297-0.997484]\'',3.11,0.45,8.7,5
7.1,0.44,0.62,'\'(7.12-13.64]\'',0.044,52,152,'\'(0.997484-1.002671]\'',3.12,0.46,8.7,6
7.2,0.39,0.63,'\'(7.12-13.64]\'',0.044,55,156,'\'(0.992297-0.997484]\'',3.09,0.44,8.7,6
6.8,0.25,0.31,'\'(7.12-13.64]\'',0.05,69,202,'\'(0.992297-0.997484]\'',3.22,0.48,9.7,6
7.1,0.43,0.61,'\'(7.12-13.64]\'',0.045,54,155,'\'(0.992297-0.997484]\'',3.11,0.45,8.7,5
7.1,0.44,0.62,'\'(7.12-13.64]\'',0.044,52,152,'\'(0.997484-1.002671]\'',3.12,0.46,8.7,6
7.2,0.39,0.63,'\'(7.12-13.64]\'',0.044,55,156,'\'(0.992297-0.997484]\'',3.09,0.44,8.7,6
6.1,0.27,0.43,'\'(7.12-13.64]\'',0.049,65,243,'\'(0.992297-0.997484]\'',3.12,0.47,9,5
6.9,0.24,0.33,'\'(-inf-7.12]\'',0.035,47,136,'\'(-inf-0.992297]\'',3.26,0.4,12.6,7
6.9,0.21,0.33,'\'(-inf-7.12]\'',0.034,48,136,'\'(-inf-0.992297]\'',3.25,0.41,12.6,7
7.5,0.17,0.32,'\'(-inf-7.12]\'',0.04,51,148,'\'(-inf-0.992297]\'',3.21,0.44,11.5,7
7.1,0.26,0.29,'\'(7.12-13.64]\'',0.044,62,240,'\'(0.992297-0.997484]\'',3.04,0.42,9.2,6
6,0.34,0.66,'\'(13.64-20.16]\'',0.046,26,164,'\'(0.997484-1.002671]\'',3.14,0.5,8.8,6
8.6,0.265,0.36,'\'(-inf-7.12]\'',0.034,15,80,'\'(-inf-0.992297]\'',2.95,0.36,11.4,7
9.8,0.36,0.46,'\'(7.12-13.64]\'',0.038,4,83,'\'(0.992297-0.997484]\'',2.89,0.3,10.1,4
6,0.34,0.66,'\'(13.64-20.16]\'',0.046,26,164,'\'(0.997484-1.002671]\'',3.14,0.5,8.8,6
7.4,0.25,0.37,'\'(7.12-13.64]\'',0.06,52,192,'\'(0.997484-1.002671]\'',3,0.44,9.1,5
7.1,0.12,0.32,'\'(7.12-13.64]\'',0.054,64,162,'\'(0.992297-0.997484]\'',3.4,0.41,9.4,5
6,0.21,0.24,'\'(7.12-13.64]\'',0.05,55,164,'\'(0.992297-0.997484]\'',3.34,0.39,9.4,5
7.5,0.305,0.4,'\'(13.64-20.16]\'',0.059,44,170,'\'(0.997484-1.002671]\'',2.99,0.46,9,5
7.4,0.25,0.37,'\'(7.12-13.64]\'',0.06,52,192,'\'(0.997484-1.002671]\'',3,0.44,9.1,5
7.3,0.13,0.32,'\'(13.64-20.16]\'',0.051,34,109,'\'(0.992297-0.997484]\'',3.2,0.35,9.2,6
7.1,0.12,0.32,'\'(7.12-13.64]\'',0.054,64,162,'\'(0.992297-0.997484]\'',3.4,0.41,9.4,5
7.1,0.23,0.35,'\'(13.64-20.16]\'',0.04,60,171,'\'(0.997484-1.002671]\'',3.16,0.59,9.1,6
7.1,0.23,0.35,'\'(13.64-20.16]\'',0.04,60,171,'\'(0.997484-1.002671]\'',3.16,0.59,9.1,6
6.9,0.33,0.28,'\'(-inf-7.12]\'',0.051,37,187,'\'(0.992297-0.997484]\'',3.27,0.6,10.3,5
6.5,0.17,0.54,'\'(7.12-13.64]\'',0.082,64,163,'\'(0.992297-0.997484]\'',2.89,0.39,8.8,6
7.2,0.27,0.46,'\'(13.64-20.16]\'',0.052,45,255,'\'(0.997484-1.002671]\'',3.04,0.52,8.9,5
7.2,0.31,0.5,'\'(7.12-13.64]\'',0.056,68,195,'\'(0.997484-1.002671]\'',3.01,0.47,9.2,5
6.7,0.41,0.34,'\'(7.12-13.64]\'',0.049,29,150,'\'(0.992297-0.997484]\'',3.22,0.51,9.1,5
6.7,0.41,0.34,'\'(7.12-13.64]\'',0.049,29,150,'\'(0.992297-0.997484]\'',3.22,0.51,9.1,5
5.5,0.485,0,'\'(-inf-7.12]\'',0.065,8,103,'\'(0.992297-0.997484]\'',3.63,0.4,9.7,4
6,0.31,0.24,'\'(-inf-7.12]\'',0.041,25,143,'\'(-inf-0.992297]\'',3.31,0.44,11.3,6
7,0.14,0.4,'\'(-inf-7.12]\'',0.035,16,85,'\'(-inf-0.992297]\'',3.19,0.42,11.8,6
7.2,0.31,0.5,'\'(7.12-13.64]\'',0.056,68,195,'\'(0.997484-1.002671]\'',3.01,0.47,9.2,5
7.3,0.32,0.48,'\'(7.12-13.64]\'',0.06,57,196,'\'(0.997484-1.002671]\'',3.04,0.5,9.2,5
5.9,0.36,0.04,'\'(-inf-7.12]\'',0.046,21,87,'\'(0.992297-0.997484]\'',3.22,0.51,10.2,5
7.8,0.24,0.32,'\'(7.12-13.64]\'',0.054,42,138,'\'(0.997484-1.002671]\'',3.01,0.54,8.8,5
7.4,0.16,0.31,'\'(-inf-7.12]\'',0.059,31,131,'\'(0.992297-0.997484]\'',3.29,0.34,9.7,5
6.9,0.19,0.28,'\'(-inf-7.12]\'',0.058,14,146,'\'(0.992297-0.997484]\'',3.29,0.36,9.1,6
6.4,0.13,0.47,'\'(-inf-7.12]\'',0.092,40,158,'\'(0.992297-0.997484]\'',3.21,0.36,9.8,6
6.7,0.19,0.36,'\'(-inf-7.12]\'',0.026,63,143,'\'(-inf-0.992297]\'',3.27,0.48,11,6
7.4,0.39,0.23,'\'(-inf-7.12]\'',0.033,29,126,'\'(0.992297-0.997484]\'',3.14,0.42,10.5,5
6.5,0.24,0.32,'\'(7.12-13.64]\'',0.038,48,203,'\'(0.992297-0.997484]\'',3.45,0.54,9.7,7
6.1,0.3,0.56,'\'(-inf-7.12]\'',0.044,47,179,'\'(0.992297-0.997484]\'',3.3,0.57,10.9,7
6.1,0.3,0.56,'\'(-inf-7.12]\'',0.046,46,184,'\'(0.992297-0.997484]\'',3.31,0.57,10.9,6
5.7,0.26,0.25,'\'(7.12-13.64]\'',0.02,7,57,'\'(0.992297-0.997484]\'',3.39,0.37,10.6,5
6.5,0.24,0.32,'\'(7.12-13.64]\'',0.038,48,203,'\'(0.992297-0.997484]\'',3.45,0.54,9.7,7
6.5,0.425,0.4,'\'(7.12-13.64]\'',0.038,59,241,'\'(0.997484-1.002671]\'',3.23,0.57,9,5
6.6,0.24,0.27,'\'(13.64-20.16]\'',0.035,46,188,'\'(0.997484-1.002671]\'',3.24,0.51,9.2,5
6.8,0.27,0.22,'\'(7.12-13.64]\'',0.034,55,203,'\'(0.992297-0.997484]\'',3.19,0.52,8.9,5
6.7,0.27,0.31,'\'(13.64-20.16]\'',0.036,44,179,'\'(0.997484-1.002671]\'',3.26,0.56,9.6,5
8.2,0.23,0.4,'\'(-inf-7.12]\'',0.027,36,121,'\'(-inf-0.992297]\'',3.12,0.38,10.7,6
7.1,0.37,0.67,'\'(7.12-13.64]\'',0.045,49,155,'\'(0.997484-1.002671]\'',3.16,0.44,8.7,5
6.8,0.19,0.36,'\'(-inf-7.12]\'',0.035,30,96,'\'(-inf-0.992297]\'',3.15,0.54,10.8,7
8.1,0.28,0.39,'\'(-inf-7.12]\'',0.029,18,79,'\'(0.992297-0.997484]\'',3.23,0.52,11.8,6
6.3,0.31,0.34,'\'(-inf-7.12]\'',0.045,20,77,'\'(0.992297-0.997484]\'',3.3,0.43,10.2,5
7.1,0.37,0.67,'\'(7.12-13.64]\'',0.045,49,155,'\'(0.997484-1.002671]\'',3.16,0.44,8.7,5
7.9,0.21,0.4,'\'(-inf-7.12]\'',0.039,38,107,'\'(-inf-0.992297]\'',3.21,0.54,10.8,6
8.5,0.21,0.41,'\'(-inf-7.12]\'',0.036,24,99,'\'(0.992297-0.997484]\'',3.18,0.53,9.7,6
8.1,0.2,0.4,'\'(-inf-7.12]\'',0.037,19,87,'\'(-inf-0.992297]\'',3.12,0.54,11.2,6
6.3,0.255,0.37,'\'(-inf-7.12]\'',0.04,37,114,'\'(-inf-0.992297]\'',3,0.39,10.9,6
5.6,0.16,0.27,'\'(-inf-7.12]\'',0.044,53,168,'\'(-inf-0.992297]\'',3.28,0.37,10.1,6
6.4,0.595,0.14,'\'(-inf-7.12]\'',0.058,15,97,'\'(0.992297-0.997484]\'',3.38,0.36,9,4
6.3,0.34,0.33,'\'(-inf-7.12]\'',0.034,19,80,'\'(-inf-0.992297]\'',3.38,0.58,12,7
6.9,0.25,0.3,'\'(-inf-7.12]\'',0.054,23,116,'\'(0.992297-0.997484]\'',2.99,0.38,9.4,6
7.9,0.22,0.38,'\'(7.12-13.64]\'',0.043,46,152,'\'(0.992297-0.997484]\'',3.12,0.32,11.5,7
7.6,0.18,0.46,'\'(7.12-13.64]\'',0.055,58,135,'\'(0.992297-0.997484]\'',3.14,0.43,9.9,6
6.9,0.25,0.3,'\'(-inf-7.12]\'',0.054,23,116,'\'(0.992297-0.997484]\'',2.99,0.38,9.4,6
7.2,0.18,0.41,'\'(-inf-7.12]\'',0.048,41,97,'\'(-inf-0.992297]\'',3.14,0.45,10.4,5
8.2,0.23,0.4,'\'(7.12-13.64]\'',0.049,12,76,'\'(0.992297-0.997484]\'',3.06,0.84,9.7,6
7.4,0.24,0.42,'\'(13.64-20.16]\'',0.066,48,198,'\'(0.997484-1.002671]\'',2.89,0.42,8.9,6
7.4,0.24,0.42,'\'(13.64-20.16]\'',0.066,48,198,'\'(0.997484-1.002671]\'',2.89,0.42,8.9,6
6.1,0.32,0.24,'\'(-inf-7.12]\'',0.036,38,124,'\'(-inf-0.992297]\'',3.29,0.42,12.4,7
5.2,0.44,0.04,'\'(-inf-7.12]\'',0.036,43,119,'\'(-inf-0.992297]\'',3.36,0.33,12.1,8
5.2,0.44,0.04,'\'(-inf-7.12]\'',0.036,43,119,'\'(-inf-0.992297]\'',3.36,0.33,12.1,8
6.1,0.32,0.24,'\'(-inf-7.12]\'',0.036,38,124,'\'(-inf-0.992297]\'',3.29,0.42,12.4,7
6.4,0.22,0.56,'\'(13.64-20.16]\'',0.055,27,159,'\'(0.997484-1.002671]\'',2.98,0.4,9.1,5
6.3,0.36,0.3,'\'(-inf-7.12]\'',0.049,14,85,'\'(0.992297-0.997484]\'',3.28,0.39,10.6,5
7.4,0.24,0.42,'\'(13.64-20.16]\'',0.066,48,198,'\'(0.997484-1.002671]\'',2.89,0.42,8.9,6
6.7,0.24,0.35,'\'(7.12-13.64]\'',0.05,64,205,'\'(0.992297-0.997484]\'',3.15,0.5,9.5,5
7,0.23,0.36,'\'(7.12-13.64]\'',0.051,72,177,'\'(0.992297-0.997484]\'',3.16,0.49,9.8,5
8.4,0.27,0.46,'\'(7.12-13.64]\'',0.048,39,197,'\'(0.992297-0.997484]\'',3.14,0.59,9.6,6
6.7,0.46,0.18,'\'(-inf-7.12]\'',0.034,25,98,'\'(-inf-0.992297]\'',3.08,0.44,12.6,7
7.5,0.29,0.31,'\'(7.12-13.64]\'',0.055,20,151,'\'(0.992297-0.997484]\'',3.08,0.54,9.3,5
9.8,0.42,0.48,'\'(7.12-13.64]\'',0.034,5,110,'\'(0.992297-0.997484]\'',2.87,0.29,10,5
7.1,0.3,0.46,'\'(-inf-7.12]\'',0.066,29,133,'\'(-inf-0.992297]\'',3.12,0.54,12.7,6
7.9,0.19,0.45,'\'(-inf-7.12]\'',0.045,17,96,'\'(-inf-0.992297]\'',3.13,0.39,11,6
7.6,0.48,0.37,'\'(-inf-7.12]\'',0.037,4,100,'\'(-inf-0.992297]\'',3.03,0.39,11.4,4
6.3,0.22,0.43,'\'(-inf-7.12]\'',0.038,31,130,'\'(-inf-0.992297]\'',3.35,0.33,11.5,7
7.5,0.27,0.31,'\'(13.64-20.16]\'',0.051,33,173,'\'(0.997484-1.002671]\'',3.09,0.64,10.2,5
6.9,0.23,0.4,'\'(7.12-13.64]\'',0.04,50,151,'\'(0.992297-0.997484]\'',3.11,0.27,11.4,6
7.2,0.32,0.47,'\'(-inf-7.12]\'',0.044,19,65,'\'(-inf-0.992297]\'',3.03,0.41,12.6,4
5.9,0.23,0.3,'\'(7.12-13.64]\'',0.054,57,170,'\'(0.992297-0.997484]\'',3.28,0.39,9.4,5
6,0.67,0.07,'\'(-inf-7.12]\'',0.06,9,108,'\'(0.992297-0.997484]\'',3.11,0.35,8.7,4
6.4,0.25,0.32,'\'(-inf-7.12]\'',0.049,41,176,'\'(0.992297-0.997484]\'',3.19,0.68,9.2,6
6.4,0.33,0.31,'\'(-inf-7.12]\'',0.048,42,173,'\'(0.992297-0.997484]\'',3.19,0.66,9.3,6
7.1,0.34,0.15,'\'(-inf-7.12]\'',0.053,61,183,'\'(0.992297-0.997484]\'',3.09,0.43,9.2,5
6.8,0.28,0.4,'\'(20.16-26.68]\'',0.048,48,167,'\'(0.997484-1.002671]\'',2.93,0.5,8.7,5
6.9,0.27,0.4,'\'(13.64-20.16]\'',0.05,64,227,'\'(0.997484-1.002671]\'',3.18,0.58,9.6,6
6.8,0.26,0.56,'\'(7.12-13.64]\'',0.043,64,226,'\'(0.992297-0.997484]\'',3.02,0.63,9.3,5
6.8,0.29,0.56,'\'(7.12-13.64]\'',0.043,66,230,'\'(0.992297-0.997484]\'',3.02,0.63,9.3,5
6.7,0.24,0.41,'\'(7.12-13.64]\'',0.04,49,166,'\'(0.992297-0.997484]\'',3.12,0.61,9.9,6
5.9,0.3,0.23,'\'(-inf-7.12]\'',0.038,42,119,'\'(0.992297-0.997484]\'',3.15,0.5,11,5
6.8,0.53,0.35,'\'(-inf-7.12]\'',0.034,26,109,'\'(-inf-0.992297]\'',3.26,0.57,12.7,8
6.5,0.28,0.28,'\'(7.12-13.64]\'',0.047,54,210,'\'(0.992297-0.997484]\'',3.09,0.54,8.9,4
6.6,0.28,0.28,'\'(7.12-13.64]\'',0.052,55,211,'\'(0.992297-0.997484]\'',3.09,0.55,8.9,6
6.8,0.28,0.4,'\'(20.16-26.68]\'',0.048,48,167,'\'(0.997484-1.002671]\'',2.93,0.5,8.7,5
6.8,0.28,0.36,'\'(7.12-13.64]\'',0.045,28,123,'\'(0.992297-0.997484]\'',3.02,0.37,11.4,6
6.6,0.15,0.34,'\'(-inf-7.12]\'',0.055,34,125,'\'(0.992297-0.997484]\'',3.36,0.42,9.6,5
6.4,0.29,0.44,'\'(-inf-7.12]\'',0.2,75,181,'\'(0.992297-0.997484]\'',3.02,0.41,9.1,5
6.4,0.3,0.45,'\'(-inf-7.12]\'',0.197,76,180,'\'(0.992297-0.997484]\'',3.02,0.39,9.1,6
